step_time_a_mag_right_leg,step_vel_a_mag_right_leg,step_dis_a_mag_right_leg,step_min_a_mag_right_leg,step_max_a_mag_right_leg,step_mean_a_mag_right_leg,step_var_a_mag_right_leg,step_std_a_mag_right_leg,step_skew_a_mag_right_leg,step_time_a_mag_right_leg,step_vel_a_mag_right_leg,step_dis_a_mag_right_leg,step_min_a_mag_right_leg,step_max_a_mag_right_leg,step_mean_a_mag_right_leg,step_var_a_mag_right_leg,step_std_a_mag_right_leg,step_skew_a_mag_right_leg,dtw_distance_a_mag_asymm,has_injury
1.088,8.666645330831667,9.429310119944855,-0.018108696661306115,1.5382524346366564,0.7182008284309108,0.24795105534882642,0.4979468398823577,-0.0818052882329903,1.106,9.105943114602146,10.071173084749974,0.04998289310910296,1.4842321070747055,0.7597527290634775,0.23226212601555166,0.481935811094747,-0.31684851848845436,2.6030810597759624,0.0
1.307,6.088606940003984,7.957809270585207,-0.04590831105075925,0.8664805255488569,0.4322403594345011,0.09964228969729566,0.3156616696675345,-0.2985098198609853,1.407,7.101449352199495,9.991739238544689,-0.031165916292750687,0.9205847759711052,0.47251182640657396,0.12410681392058708,0.3522879701616095,-0.32269609579880876,1.9859084000075582,1.0
1.127,7.9041869697324705,8.908018714888494,-0.047197498633958286,1.2429657669200227,0.6570345284740894,0.2491547028422281,0.4991539871044086,-0.27599887748257745,1.106,8.125038813938861,8.98629292821638,-0.0353896497678385,1.232240067999734,0.6724534755565247,0.2252223296359375,0.4745759471738296,-0.42322606235768334,0.9952305565962541,0.0
1.002,7.452878744851141,7.467784502340844,0.35584808830393466,0.9841874639372734,0.7131268414199813,0.05574745852564661,0.2361089971298142,-0.5389493517459837,0.904,6.7486199723379725,6.100752454993527,0.057067081532298114,1.3685553889356026,0.6801695733873252,0.2433706498561628,0.4933261090355575,0.20909036320709395,8.074623633771196,0.0
1.106,12.47974798738373,13.802601274046406,-0.12269793173860907,2.414036978114761,1.0275352135718283,0.6970116988280236,0.8348722649771183,0.2913771541706057,1.106,9.654233525267188,10.677582278945511,-0.07581046782626764,1.4590869631656072,0.7971938627976064,0.34073463583715063,0.5837247946054294,-0.5089773075864404,11.034009162472834,1.0
1.105,9.487072302501872,10.483214894264568,0.04738321514281517,1.3769864434721295,0.793726564221859,0.2655159272939928,0.5152823762695488,-0.5290806441905685,1.105,9.923524283070035,10.965494332792389,0.03258659717510669,1.6475062528836295,0.8270960507610647,0.32995778619135413,0.5744195210744096,-0.3229364947883298,3.3702715397568705,1.0
1.001,11.456777100329706,11.468233877430034,0.07501545940348578,2.021721409831944,1.0536216576781563,0.3614069748084815,0.6011713356510617,-0.1356717131455327,1.078,10.542061672423532,11.36434248287257,5.1761868221852914e-05,1.6966622065093282,0.8780516152874371,0.33564304051439536,0.579347081216774,-0.3715675420702152,3.8219019355258297,1.0
1.106,11.121267173494994,12.300121493885465,-0.051185955954849455,1.9098531473037672,0.9203627823117378,0.42978013301063184,0.6555761839867521,-0.010819348524638525,1.325,9.193647531571273,12.181582979331935,0.0016563687383739974,1.6403718580934787,0.6566732706277085,0.28392067473286076,0.5328420729755307,0.4334087801314205,5.770410798493701,0.0
1.111,8.721521600099614,9.689610497710671,0.14171597027876226,1.4253703923614225,0.7368593359003609,0.18811318573524102,0.4337201698506089,-0.1108823180279681,1.102,8.567090153483118,9.440933349138398,-0.02824426663381193,1.5359805977014682,0.7089986521525814,0.24092749142562353,0.4908436527303002,0.05445468061237011,3.0812660750771546,0.0
1.303,7.178330388246956,9.353364495885783,-0.0008132516063295327,0.9561164289613644,0.511864079478726,0.10908173852223453,0.3302752466083926,-0.44766797629668836,1.329,8.622556365989439,11.459377410399965,-0.10496999920513972,1.5236193431792375,0.6087125350021202,0.26648598718720673,0.516222807697613,0.18179561301660166,5.839596765097041,0.0
